data	nazwa_obszaru	masa [kg]	zawartosc [%]
2034-12-02	Iapygia	13,5	4,9
2034-12-03	Eridania	17,8	5,0
2034-12-04	Iapygia	21,5	47,1
2034-12-05	Ismenius Lacus	20,5	0,1
2034-12-06	Eridania	14,4	0,0
2034-12-07	Phoenicis Lacus	12,3	0,0
2034-12-08	Eridania	26,5	14,0
2034-12-09	Eridania	17,7	0,0
2034-12-10	Arcadia	15,7	1,0
2034-12-11	Elysium	16,2	0,0
2034-12-12	Margaritifer Sinus	18,6	1,4
2034-12-13	Memnonia	23,9	4,0
2034-12-14	Iapygia	15,8	50,3
2034-12-15	Sinus Sabaeus	26,2	8,5
2034-12-16	Iapygia	23,1	0,0
2034-12-17	Margaritifer Sinus	10,8	0,0
2034-12-18	Memnonia	21,2	16,1
2034-12-19	Coprates	26,3	21,1
2034-12-20	Coprates	22,8	22,7
2034-12-21	Memnonia	24,0	11,5
2034-12-22	Arabia	16,8	2,0
2034-12-23	Eridania	12,5	4,7
2034-12-24	Iapygia	15,0	1,7
2034-12-25	Memnonia	16,2	0,0
2034-12-26	Coprates	29,3	0,0
2034-12-27	Mare Tyrrhenum	26,4	0,2
2034-12-28	Memnonia	23,0	0,0
2034-12-29	Amazonis	25,4	1,2
2034-12-30	Iapygia	24,5	22,5
2034-12-31	Tharsis	19,0	18,9
2035-01-01	Tharsis	10,0	7,6
2035-01-02	Iapygia	10,4	20,6
2035-01-03	Margaritifer Sinus	10,5	0,0
2035-01-04	Noachis	12,1	8,8
2035-01-05	Iapygia	20,5	0,0
2035-01-06	Eridania	13,1	0,0
2035-01-07	Arcadia	29,8	1,1
2035-01-08	Phoenicis Lacus	17,1	5,5
2035-01-09	Arabia	29,1	0,4
2035-01-10	Memnonia	10,9	0,0
2035-01-11	Mare Tyrrhenum	27,4	0,3
2035-01-12	Tharsis	16,3	9,8
2035-01-13	Coprates	14,7	0,0
2035-01-14	Sinus Sabaeus	17,2	2,0
2035-01-15	Phoenicis Lacus	24,2	9,9
2035-01-16	Eridania	22,3	0,0
2035-01-17	Mare Australe	26,7	0,6
2035-01-18	Sinus Sabaeus	10,9	3,8
2035-01-19	Margaritifer Sinus	23,7	0,0
2035-01-20	Iapygia	16,0	22,3
2035-01-21	Iapygia	19,4	41,6
2035-01-22	Amazonis	26,7	10,0
2035-01-23	Tharsis	20,8	0,0
2035-01-24	Iapygia	25,6	0,0
2035-01-25	Memnonia	18,3	0,5
2035-01-26	Mare Boreum	27,4	4,2
2035-01-27	Aeolis	16,1	3,4
2035-01-28	Arabia	27,5	8,0
2035-01-29	Mare Boreum	28,4	10,2
2035-01-30	Eridania	16,1	4,0
2035-01-31	Aeolis	28,4	2,6
2035-02-01	Arabia	29,3	0,0
2035-02-02	Eridania	19,7	16,2
2035-02-03	Hellas	11,5	0,3
2035-02-04	Tharsis	19,5	0,0
2035-02-05	Elysium	22,7	0,7
2035-02-06	Coprates	19,7	7,3
2035-02-07	Arcadia	19,4	0,4
2035-02-08	Aeolis	13,8	1,1
2035-02-09	Eridania	19,6	2,3
2035-02-10	Tharsis	22,6	13,3
2035-02-11	Noachis	18,2	7,6
2035-02-12	Tharsis	27,3	38,4
2035-02-13	Tharsis	14,7	31,8
2035-02-14	Mare Acidalium	20,6	5,9
2035-02-15	Iapygia	12,6	14,4
2035-02-16	Amazonis	14,5	0,0
2035-02-17	Iapygia	24,7	36,0
2035-02-18	Tharsis	17,9	24,9
2035-02-19	Arabia	20,2	2,9
2035-02-20	Ismenius Lacus	13,4	1,7
2035-02-21	Lunae Palus	12,2	6,0
2035-02-22	Diacria	29,8	0,4
2035-02-23	Tharsis	16,1	28,7
2035-02-24	Iapygia	18,8	0,0
2035-02-25	Phoenicis Lacus	17,1	0,0
2035-02-26	Mare Boreum	11,7	7,7
2035-02-27	Memnonia	25,4	14,2
2035-02-28	Mare Acidalium	12,6	9,0
2035-03-01	Iapygia	15,8	0,0
2035-03-02	Memnonia	24,7	13,9
2035-03-03	Casius	26,7	0,0
2035-03-04	Tharsis	21,2	5,3
2035-03-05	Noachis	10,4	8,6
2035-03-06	Arcadia	25,1	3,3
2035-03-07	Tharsis	27,8	20,9
2035-03-08	Amazonis	26,1	0,0
2035-03-09	Eridania	18,3	7,8
2035-03-10	Amazonis	16,3	0,0
2035-03-11	Amazonis	17,2	12,5
2035-03-12	Argyre	22,1	3,7
2035-03-13	Aeolis	18,8	0,0
2035-03-14	Memnonia	12,3	7,1
2035-03-15	Iapygia	27,5	34,3
2035-03-16	Memnonia	23,1	0,0
2035-03-17	Amazonis	21,3	0,0
2035-03-18	Arcadia	13,8	5,9
2035-03-19	Eridania	20,0	16,0
2035-03-20	Sinus Sabaeus	23,9	0,0
2035-03-21	Mare Australe	15,3	0,1
2035-03-22	Arabia	16,6	0,0
2035-03-23	Casius	20,8	2,0
2035-03-24	Amazonis	10,8	12,3
2035-03-25	Amazonis	12,5	18,4
2035-03-26	Mare Boreum	24,0	4,9
2035-03-27	Iapygia	21,4	11,1
2035-03-28	Mare Acidalium	18,3	0,0
2035-03-29	Phoenicis Lacus	10,5	3,9
2035-03-30	Iapygia	11,7	0,0
2035-03-31	Coprates	26,8	0,0
2035-04-01	Iapygia	22,1	33,8
2035-04-02	Mare Tyrrhenum	17,1	0,0
2035-04-03	Eridania	12,1	14,4
2035-04-04	Tharsis	28,6	23,2
2035-04-05	Noachis	21,2	1,5
2035-04-06	Mare Boreum	17,2	2,4
2035-04-07	Iapygia	22,3	0,0
2035-04-08	Phoenicis Lacus	13,2	3,6
2035-04-09	Memnonia	13,6	13,4
2035-04-10	Sinus Sabaeus	15,7	0,0
2035-04-11	Mare Boreum	24,8	0,0
2035-04-12	Iapygia	25,1	5,1
2035-04-13	Tharsis	14,2	23,5
2035-04-14	Arabia	21,1	1,4
2035-04-15	Iapygia	25,4	28,0
2035-04-16	Iapygia	24,7	5,7
2035-04-17	Eridania	19,8	0,0
2035-04-18	Casius	28,4	2,9
2035-04-19	Amazonis	26,5	0,0
2035-04-20	Iapygia	14,1	13,1
2035-04-21	Thaumasia	15,9	0,5
2035-04-22	Tharsis	28,2	26,9
2035-04-23	Thaumasia	17,1	0,5
2035-04-24	Tharsis	27,0	0,0
2035-04-25	Memnonia	24,1	0,0
2035-04-26	Sinus Sabaeus	10,4	7,2
2035-04-27	Eridania	27,2	15,1
2035-04-28	Mare Acidalium	22,1	0,0
2035-04-29	Arabia	13,3	8,5
2035-04-30	Sinus Sabaeus	26,4	0,0
2035-05-01	Syrtis Major	25,8	2,9
2035-05-02	Phoenicis Lacus	23,0	3,8
2035-05-03	Eridania	22,7	0,0
2035-05-04	Arcadia	26,2	5,1
2035-05-05	Arabia	16,6	0,0
2035-05-06	Aeolis	23,9	0,0
2035-05-07	Coprates	10,6	21,3
2035-05-08	Iapygia	22,8	24,6
2035-05-09	Amenthes	26,8	7,5
2035-05-10	Tharsis	21,3	37,7
2035-05-11	Sinus Sabaeus	20,3	11,0
2035-05-12	Tharsis	25,6	20,1
2035-05-13	Eridania	25,1	14,7
2035-05-14	Coprates	24,3	24,3
2035-05-15	Arabia	12,9	2,7
2035-05-16	Tharsis	16,7	27,7
2035-05-17	Iapygia	16,2	20,5
2035-05-18	Sinus Sabaeus	19,5	5,1
2035-05-19	Iapygia	22,9	6,6
2035-05-20	Tharsis	25,9	4,4
2035-05-21	Memnonia	20,3	4,6
2035-05-22	Thaumasia	11,3	0,3
2035-05-23	Iapygia	27,4	29,9
2035-05-24	Tharsis	29,2	0,0
2035-05-25	Cebrenia	27,4	0,0
2035-05-26	Tharsis	10,1	8,1
2035-05-27	Amenthes	12,9	5,9
2035-05-28	Arabia	18,7	0,0
2035-05-29	Mare Tyrrhenum	17,8	0,3
2035-05-30	Iapygia	24,7	42,9
2035-05-31	Iapygia	28,7	33,8
2035-06-01	Memnonia	12,3	1,7
2035-06-02	Tharsis	22,9	0,0
2035-06-03	Lunae Palus	20,0	3,0
2035-06-04	Iapygia	27,3	0,0
2035-06-05	Eridania	29,9	7,7
2035-06-06	Sinus Sabaeus	27,5	2,7
2035-06-07	Memnonia	16,5	13,3
2035-06-08	Amenthes	23,5	5,9
2035-06-09	Amenthes	21,5	4,1
2035-06-10	Phoenicis Lacus	10,3	15,6
2035-06-11	Iapygia	15,0	0,0
2035-06-12	Noachis	23,3	5,3
2035-06-13	Phoenicis Lacus	10,5	14,4
2035-06-14	Iapygia	18,5	0,0
2035-06-15	Arabia	20,2	5,4
2035-06-16	Aeolis	29,0	4,2
2035-06-17	Phoenicis Lacus	12,1	18,1
2035-06-18	Eridania	14,1	5,6
2035-06-19	Iapygia	19,5	2,7
2035-06-20	Casius	28,7	0,3
2035-06-21	Tharsis	20,3	15,0
2035-06-22	Coprates	25,9	4,7
2035-06-23	Coprates	25,3	0,0
2035-06-24	Elysium	22,8	0,6
2035-06-25	Mare Acidalium	28,4	2,3
2035-06-26	Mare Acidalium	29,7	0,0
2035-06-27	Phoenicis Lacus	11,7	6,4
2035-06-28	Mare Acidalium	12,8	6,9
2035-06-29	Iapygia	11,0	0,0
2035-06-30	Phaethontis	14,7	0,5
2035-07-01	Arcadia	13,2	2,5
2035-07-02	Arcadia	28,0	3,8
2035-07-03	Amazonis	27,5	10,3
2035-07-04	Arcadia	12,1	4,7
2035-07-05	Phoenicis Lacus	24,7	7,2
2035-07-06	Syrtis Major	27,1	2,6
2035-07-07	Coprates	28,7	3,0
2035-07-08	Iapygia	15,0	21,4
2035-07-09	Amazonis	11,6	3,7
2035-07-10	Iapygia	13,1	0,0
2035-07-11	Arcadia	25,5	0,0
2035-07-12	Thaumasia	19,4	0,7
2035-07-13	Coprates	27,3	2,6
2035-07-14	Iapygia	21,0	27,8
2035-07-15	Arabia	11,5	0,0
2035-07-16	Margaritifer Sinus	13,6	2,7
2035-07-17	Ismenius Lacus	17,8	0,3
2035-07-18	Ismenius Lacus	10,8	0,0
2035-07-19	Iapygia	23,0	3,3
2035-07-20	Amazonis	14,0	18,1
2035-07-21	Arcadia	10,7	0,4
2035-07-22	Eridania	24,7	9,1
2035-07-23	Tharsis	12,2	18,6
2035-07-24	Noachis	23,8	7,7
2035-07-25	Sinus Sabaeus	18,5	0,0
2035-07-26	Lunae Palus	24,6	0,4
2035-07-27	Tharsis	24,6	10,4
2035-07-28	Sinus Sabaeus	25,4	11,2
2035-07-29	Amazonis	13,1	22,2
2035-07-30	Iapygia	10,1	11,6
2035-07-31	Phoenicis Lacus	25,0	0,0
2035-08-01	Memnonia	20,9	11,4
2035-08-02	Arabia	27,6	2,5
2035-08-03	Iapygia	22,8	0,0
2035-08-04	Mare Boreum	12,0	0,0
2035-08-05	Aeolis	16,8	4,9
2035-08-06	Elysium	12,9	3,0
2035-08-07	Iapygia	18,0	13,6
2035-08-08	Tharsis	26,0	30,4
2035-08-09	Phoenicis Lacus	21,3	0,0
2035-08-10	Amazonis	15,7	5,9
2035-08-11	Iapygia	19,1	0,0
2035-08-12	Tharsis	24,6	12,3
2035-08-13	Iapygia	18,7	17,8
2035-08-14	Mare Boreum	13,2	3,2
2035-08-15	Sinus Sabaeus	24,8	2,3
2035-08-16	Phoenicis Lacus	19,3	1,8
2035-08-17	Memnonia	22,7	0,0
2035-08-18	Amazonis	15,2	0,0
2035-08-19	Aeolis	28,6	0,2
2035-08-20	Coprates	17,9	18,6
2035-08-21	Hellas	11,6	0,0
2035-08-22	Margaritifer Sinus	19,0	2,2
2035-08-23	Sinus Sabaeus	17,6	7,2
2035-08-24	Coprates	12,1	7,2
2035-08-25	Eridania	28,3	1,8
2035-08-26	Memnonia	13,3	0,0
2035-08-27	Amazonis	21,0	4,2
2035-08-28	Iapygia	12,0	2,2
2035-08-29	Tharsis	12,1	0,0
2035-08-30	Amazonis	15,8	17,2
2035-08-31	Sinus Sabaeus	25,7	5,9
2035-09-01	Iapygia	20,5	26,0
2035-09-02	Eridania	23,5	15,3
2035-09-03	Sinus Sabaeus	21,7	1,2
2035-09-04	Iapygia	29,8	0,0
2035-09-05	Coprates	27,1	0,0
2035-09-06	Sinus Sabaeus	27,3	0,0
2035-09-07	Tharsis	15,5	27,6
2035-09-08	Eridania	27,9	5,1
2035-09-09	Iapygia	19,7	21,4
2035-09-10	Iapygia	27,8	27,6
2035-09-11	Mare Acidalium	12,3	2,9
2035-09-12	Memnonia	12,8	8,8
2035-09-13	Iapygia	15,0	0,0
2035-09-14	Aeolis	27,6	4,7
2035-09-15	Iapygia	19,6	0,0
2035-09-16	Diacria	16,0	0,4
2035-09-17	Iapygia	10,3	0,0
2035-09-18	Memnonia	20,2	13,9
2035-09-19	Arcadia	26,4	6,8
2035-09-20	Lunae Palus	20,6	0,0
2035-09-21	Tharsis	12,3	0,2
2035-09-22	Tharsis	11,2	36,2
2035-09-23	Ismenius Lacus	22,6	2,4
2035-09-24	Syrtis Major	16,4	0,1
2035-09-25	Casius	23,4	0,0
2035-09-26	Aeolis	20,2	0,3
2035-09-27	Amazonis	17,6	15,0
2035-09-28	Iapygia	21,7	33,3
2035-09-29	Iapygia	18,4	19,3
2035-09-30	Coprates	20,1	15,4
2035-10-01	Memnonia	16,5	14,7
2035-10-02	Iapygia	12,3	30,2
2035-10-03	Iapygia	29,6	42,8
2035-10-04	Sinus Sabaeus	26,6	9,2
2035-10-05	Memnonia	26,7	4,0
2035-10-06	Phoenicis Lacus	23,6	0,0
2035-10-07	Syrtis Major	13,6	2,8
2035-10-08	Amenthes	13,8	6,5
2035-10-09	Noachis	12,3	0,0
2035-10-10	Coprates	12,3	0,0
2035-10-11	Memnonia	22,7	10,3
2035-10-12	Iapygia	19,0	0,0
2035-10-13	Ismenius Lacus	23,4	0,0
2035-10-14	Phoenicis Lacus	28,2	0,0
2035-10-15	Phoenicis Lacus	20,1	9,7
2035-10-16	Lunae Palus	29,6	0,0
2035-10-17	Coprates	25,8	0,0
2035-10-18	Iapygia	19,6	18,5
2035-10-19	Tharsis	21,5	3,0
2035-10-20	Phoenicis Lacus	24,2	17,4
2035-10-21	Casius	12,0	0,0
2035-10-22	Phaethontis	23,0	0,0
2035-10-23	Tharsis	19,8	29,2
2035-10-24	Amenthes	14,9	0,8
2035-10-25	Phoenicis Lacus	17,9	10,3
2035-10-26	Coprates	26,0	0,0
2035-10-27	Sinus Sabaeus	21,5	9,3
2035-10-28	Tharsis	29,9	2,4
2035-10-29	Iapygia	12,3	35,1
2035-10-30	Lunae Palus	21,7	3,9
2035-10-31	Iapygia	10,7	0,0
2035-11-01	Amenthes	21,5	0,0
2035-11-02	Iapygia	26,0	33,8
2035-11-03	Phoenicis Lacus	24,4	15,4
2035-11-04	Amenthes	20,8	0,0
2035-11-05	Eridania	18,2	15,7
2035-11-06	Lunae Palus	25,6	7,0
2035-11-07	Amazonis	25,2	0,0
2035-11-08	Sinus Sabaeus	19,5	5,3
2035-11-09	Argyre	15,2	2,1
2035-11-10	Phoenicis Lacus	21,3	11,4
2035-11-11	Phoenicis Lacus	21,8	17,4
2035-11-12	Oxia Palus	27,7	0,5
2035-11-13	Iapygia	28,5	46,0
2035-11-14	Casius	25,7	0,0
2035-11-15	Iapygia	18,0	0,5
2035-11-16	Noachis	29,5	0,0
2035-11-17	Memnonia	21,0	10,3
2035-11-18	Elysium	11,4	3,2
2035-11-19	Iapygia	12,7	0,0
2035-11-20	Amenthes	14,1	6,2
2035-11-21	Iapygia	29,5	29,9
2035-11-22	Mare Acidalium	18,4	0,0
2035-11-23	Iapygia	29,6	43,9
2035-11-24	Phoenicis Lacus	22,6	14,6
2035-11-25	Arabia	13,2	6,7
2035-11-26	Noachis	10,4	8,5
2035-11-27	Eridania	16,9	16,4
2035-11-28	Phoenicis Lacus	19,4	0,0
2035-11-29	Argyre	16,9	1,0
2035-11-30	Iapygia	18,4	0,0
2035-12-01	Phoenicis Lacus	13,4	12,8
2035-12-02	Coprates	28,8	0,0
2035-12-03	Eridania	19,5	1,3
2035-12-04	Amazonis	29,0	14,0
2035-12-05	Iapygia	29,6	28,7
2035-12-06	Noachis	26,5	0,0
2035-12-07	Memnonia	24,8	12,1
2035-12-08	Iapygia	20,0	14,7
2035-12-09	Tharsis	16,9	38,3
2035-12-10	Iapygia	11,5	24,7
2035-12-11	Eridania	11,4	0,0
2035-12-12	Noachis	28,5	0,0
2035-12-13	Mare Acidalium	27,9	0,7
2035-12-14	Coprates	26,7	15,5
2035-12-15	Memnonia	28,3	6,8
2035-12-16	Iapygia	28,9	0,0
2035-12-17	Elysium	21,6	4,0
2035-12-18	Aeolis	16,5	4,2
2035-12-19	Eridania	24,6	10,6
2035-12-20	Iapygia	28,9	40,8
2035-12-21	Iapygia	22,1	10,0
2035-12-22	Margaritifer Sinus	29,3	0,0
2035-12-23	Memnonia	18,8	4,7
2035-12-24	Tharsis	26,5	7,3
2035-12-25	Amazonis	24,0	0,0
2035-12-26	Tharsis	21,0	12,2
2035-12-27	Lunae Palus	28,1	6,7
2035-12-28	Arabia	23,3	4,8
2035-12-29	Lunae Palus	14,3	1,5
2035-12-30	Syrtis Major	12,6	1,1
2035-12-31	Tharsis	18,1	0,0
2036-01-01	Phoenicis Lacus	19,0	11,0
2036-01-02	Arabia	13,1	0,0
2036-01-03	Eridania	17,3	1,1
2036-01-04	Lunae Palus	23,7	5,9
2036-01-05	Phaethontis	26,3	0,0
2036-01-06	Phoenicis Lacus	16,4	0,0
2036-01-07	Mare Boreum	13,0	0,0
2036-01-08	Amazonis	28,6	1,0
2036-01-09	Iapygia	11,1	2,4
2036-01-10	Argyre	12,9	2,9
2036-01-11	Diacria	28,4	0,9
2036-01-12	Tharsis	21,8	3,4
2036-01-13	Noachis	20,8	11,8
2036-01-14	Eridania	17,4	0,0
2036-01-15	Noachis	24,8	0,0
2036-01-16	Mare Boreum	12,9	0,0
2036-01-17	Lunae Palus	25,9	0,0
2036-01-18	Iapygia	11,5	23,2
2036-01-19	Elysium	25,5	0,0
2036-01-20	Phaethontis	22,6	2,2
2036-01-21	Iapygia	14,2	0,0
2036-01-22	Eridania	26,9	9,2
2036-01-23	Tharsis	30,0	32,3
2036-01-24	Casius	16,2	5,2
2036-01-25	Amazonis	12,2	0,0
2036-01-26	Phoenicis Lacus	28,7	0,5
2036-01-27	Noachis	23,3	11,1
2036-01-28	Phoenicis Lacus	30,0	16,1
2036-01-29	Memnonia	16,0	9,8
2036-01-30	Elysium	21,6	3,4
2036-01-31	Tharsis	27,9	4,8
2036-02-01	Eridania	17,5	14,7
2036-02-02	Coprates	20,7	0,0
2036-02-03	Iapygia	10,8	36,4
2036-02-04	Tharsis	27,6	32,8
2036-02-05	Amazonis	10,8	11,6
2036-02-06	Lunae Palus	13,7	0,0
2036-02-07	Memnonia	19,5	0,0
2036-02-08	Mare Boreum	21,6	11,6
2036-02-09	Lunae Palus	21,6	2,7
2036-02-10	Argyre	16,1	0,0
2036-02-11	Noachis	29,4	12,5
2036-02-12	Arcadia	17,8	5,9
2036-02-13	Tharsis	26,1	14,8
2036-02-14	Iapygia	13,8	0,0
2036-02-15	Sinus Sabaeus	16,1	6,2
2036-02-16	Iapygia	23,2	45,8
2036-02-17	Sinus Sabaeus	18,9	0,0
2036-02-18	Tharsis	28,9	34,1
2036-02-19	Iapygia	19,3	49,6
2036-02-20	Memnonia	23,9	11,7
2036-02-21	Eridania	28,6	11,5
2036-02-22	Arcadia	14,5	0,3
2036-02-23	Iapygia	13,0	0,0
2036-02-24	Tharsis	16,2	9,2
2036-02-25	Phoenicis Lacus	27,1	6,3
2036-02-26	Iapygia	15,6	28,0
2036-02-27	Arcadia	28,9	6,8
2036-02-28	Noachis	13,8	11,9
2036-02-29	Noachis	17,8	1,5
2036-03-01	Mare Acidalium	25,1	0,0
2036-03-02	Mare Acidalium	29,5	0,0
2036-03-03	Arcadia	16,1	7,1
2036-03-04	Mare Boreum	18,0	12,0
2036-03-05	Iapygia	12,2	26,8
2036-03-06	Arabia	20,7	4,7
2036-03-07	Iapygia	20,1	47,4
2036-03-08	Iapygia	14,9	43,8
2036-03-09	Iapygia	19,0	0,0
2036-03-10	Noachis	12,5	0,0
2036-03-11	Eridania	15,2	13,9
2036-03-12	Tharsis	29,2	26,8
2036-03-13	Noachis	13,9	1,1
2036-03-14	Phoenicis Lacus	11,4	0,0
2036-03-15	Mare Boreum	15,8	7,0
2036-03-16	Iapygia	10,2	43,3
2036-03-17	Eridania	19,6	8,9
2036-03-18	Noachis	15,5	10,1
2036-03-19	Phoenicis Lacus	19,9	16,2
2036-03-20	Memnonia	10,7	2,8
2036-03-21	Arcadia	11,5	5,9
2036-03-22	Arabia	28,4	1,0
2036-03-23	Tharsis	22,3	5,1
2036-03-24	Eridania	28,7	11,5
2036-03-25	Noachis	19,1	0,0
2036-03-26	Iapygia	10,2	7,6
2036-03-27	Iapygia	18,4	0,0
2036-03-28	Tharsis	29,3	0,0
2036-03-29	Lunae Palus	26,7	5,7
2036-03-30	Ismenius Lacus	22,2	0,9
2036-03-31	Eridania	25,5	5,8
2036-04-01	Tharsis	23,5	32,0
2036-04-02	Amenthes	28,4	5,7
2036-04-03	Mare Acidalium	13,7	6,0
2036-04-04	Mare Boreum	22,1	11,7
2036-04-05	Amazonis	16,9	18,2
2036-04-06	Mare Acidalium	28,0	0,0
2036-04-07	Iapygia	13,5	3,7
2036-04-08	Tharsis	13,4	22,5
2036-04-09	Noachis	19,9	11,6
2036-04-10	Coprates	24,2	11,0
2036-04-11	Casius	20,4	0,0
2036-04-12	Casius	16,6	3,9
2036-04-13	Phaethontis	14,3	0,0
2036-04-14	Arcadia	24,4	4,4
2036-04-15	Iapygia	26,7	30,4
2036-04-16	Eridania	20,1	3,1
2036-04-17	Noachis	13,5	6,9
2036-04-18	Coprates	18,8	21,5
2036-04-19	Tharsis	18,0	13,9
2036-04-20	Casius	16,9	1,8
2036-04-21	Noachis	23,7	13,0
2036-04-22	Mare Tyrrhenum	17,6	0,6
2036-04-23	Coprates	29,1	8,3
2036-04-24	Mare Boreum	26,8	11,2
2036-04-25	Memnonia	10,5	0,0
2036-04-26	Amazonis	13,5	0,0
2036-04-27	Iapygia	14,0	22,0
2036-04-28	Amazonis	26,7	8,0
2036-04-29	Arcadia	11,2	6,1
2036-04-30	Casius	24,7	0,0
2036-05-01	Mare Australe	27,2	0,3
2036-05-02	Diacria	11,0	0,0
2036-05-03	Sinus Sabaeus	10,9	4,4
2036-05-04	Coprates	27,4	6,0
2036-05-05	Noachis	20,0	7,6
2036-05-06	Memnonia	23,5	2,5
2036-05-07	Amazonis	28,5	0,0
2036-05-08	Casius	10,8	5,8
2036-05-09	Phoenicis Lacus	18,9	9,5
2036-05-10	Eridania	24,0	4,0
2036-05-11	Sinus Sabaeus	12,7	3,0
2036-05-12	Coprates	13,4	6,2
2036-05-13	Iapygia	15,9	0,0
2036-05-14	Amazonis	19,4	21,2
2036-05-15	Phoenicis Lacus	16,3	17,6
2036-05-16	Amazonis	28,0	20,4
2036-05-17	Sinus Sabaeus	19,0	5,2
2036-05-18	Casius	24,1	4,8
2036-05-19	Iapygia	15,2	25,7
2036-05-20	Amazonis	16,3	21,0
2036-05-21	Coprates	26,9	0,0
2036-05-22	Mare Boreum	25,0	0,5
2036-05-23	Lunae Palus	25,1	5,2
2036-05-24	Sinus Sabaeus	29,2	7,1
2036-05-25	Eridania	18,1	5,1
2036-05-26	Amazonis	12,5	0,0
2036-05-27	Amazonis	19,1	0,3
2036-05-28	Tharsis	27,4	0,0
2036-05-29	Coprates	21,1	10,4
2036-05-30	Casius	13,4	0,0
2036-05-31	Amenthes	11,9	7,3
2036-06-01	Eridania	20,4	4,3
2036-06-02	Coprates	29,5	18,6
2036-06-03	Sinus Sabaeus	24,1	5,0
2036-06-04	Arabia	11,5	3,6
2036-06-05	Syrtis Major	21,2	1,8
2036-06-06	Iapygia	22,2	40,3
2036-06-07	Iapygia	14,6	2,6
2036-06-08	Eridania	23,3	8,1
2036-06-09	Eridania	16,2	10,4
2036-06-10	Iapygia	25,9	0,0
2036-06-11	Amenthes	14,6	7,0
2036-06-12	Memnonia	15,1	11,7
2036-06-13	Tharsis	14,1	6,5
2036-06-14	Casius	22,1	1,8
2036-06-15	Amazonis	27,2	21,9
2036-06-16	Noachis	10,8	0,0
2036-06-17	Coprates	24,6	0,0
2036-06-18	Iapygia	27,8	26,3
2036-06-19	Arabia	12,9	2,8
2036-06-20	Eridania	13,9	0,6
2036-06-21	Mare Australe	27,6	0,6
2036-06-22	Amazonis	18,6	21,5
2036-06-23	Noachis	17,8	0,0
2036-06-24	Phoenicis Lacus	20,8	8,5
2036-06-25	Mare Acidalium	16,4	6,8
2036-06-26	Casius	14,6	0,0
2036-06-27	Mare Boreum	27,1	1,2
2036-06-28	Iapygia	18,3	3,7
2036-06-29	Mare Australe	27,1	0,2
2036-06-30	Phoenicis Lacus	12,9	10,2
2036-07-01	Tharsis	19,1	19,6
2036-07-02	Noachis	19,2	3,6
2036-07-03	Mare Boreum	25,2	0,0
2036-07-04	Phoenicis Lacus	13,5	6,3
2036-07-05	Sinus Sabaeus	19,2	7,7
2036-07-06	Arabia	24,1	7,8
2036-07-07	Iapygia	17,8	13,4
2036-07-08	Coprates	24,7	21,1
2036-07-09	Elysium	16,8	0,0
2036-07-10	Amenthes	10,7	3,0
2036-07-11	Noachis	29,3	8,3
2036-07-12	Syrtis Major	28,2	0,0
2036-07-13	Iapygia	17,3	33,6
2036-07-14	Noachis	24,6	0,0
2036-07-15	Sinus Sabaeus	12,6	0,6
2036-07-16	Tharsis	27,3	0,0
2036-07-17	Ismenius Lacus	14,4	2,0
2036-07-18	Iapygia	11,2	32,6
2036-07-19	Tharsis	11,4	5,5
2036-07-20	Arabia	22,9	0,0
2036-07-21	Coprates	14,3	13,2
2036-07-22	Iapygia	22,9	22,9
2036-07-23	Amazonis	11,8	0,0
2036-07-24	Memnonia	24,5	0,0
2036-07-25	Phoenicis Lacus	25,5	19,3
2036-07-26	Tharsis	14,7	18,3
2036-07-27	Phoenicis Lacus	28,7	0,0
2036-07-28	Iapygia	16,7	0,0
2036-07-29	Phoenicis Lacus	17,4	13,7
2036-07-30	Iapygia	15,6	0,0
2036-07-31	Tharsis	21,7	0,0
2036-08-01	Coprates	26,0	0,0
2036-08-02	Mare Acidalium	24,5	9,0
2036-08-03	Lunae Palus	23,2	0,0
2036-08-04	Argyre	17,6	0,8
2036-08-05	Coprates	13,9	8,8
2036-08-06	Casius	20,7	4,3
2036-08-07	Amenthes	10,1	1,7
2036-08-08	Coprates	26,2	22,7
2036-08-09	Tharsis	27,6	13,8
2036-08-10	Noachis	20,6	4,7
2036-08-11	Mare Boreum	21,4	5,0
2036-08-12	Noachis	17,1	0,0
2036-08-13	Iapygia	19,5	20,5
2036-08-14	Eridania	15,9	0,0
2036-08-15	Iapygia	21,1	46,8
2036-08-16	Tharsis	20,2	36,6
2036-08-17	Sinus Sabaeus	25,0	7,8
2036-08-18	Iapygia	22,1	8,8
2036-08-19	Phaethontis	28,9	0,5
2036-08-20	Amazonis	19,6	0,0
2036-08-21	Coprates	18,0	13,2
2036-08-22	Sinus Sabaeus	28,3	0,0
2036-08-23	Noachis	25,2	0,0
2036-08-24	Iapygia	22,5	0,0
2036-08-25	Eridania	19,9	6,7
2036-08-26	Amazonis	10,8	19,6
2036-08-27	Tharsis	18,4	0,6
2036-08-28	Arcadia	27,6	3,7
2036-08-29	Arcadia	11,3	1,9
2036-08-30	Arcadia	28,7	0,0
2036-08-31	Margaritifer Sinus	15,0	1,7
2036-09-01	Coprates	15,1	13,5
2036-09-02	Tharsis	19,4	29,6
2036-09-03	Coprates	21,9	1,6
2036-09-04	Memnonia	19,4	9,8
2036-09-05	Coprates	21,8	18,5
2036-09-06	Lunae Palus	29,3	2,8
