nr_lazika	data_pomiaru	kod_obszaru	wspolrzedne	glebokosc	ilosc
99	2074-06-06	MC-12	20.92N, 28.85E	80	7752
6	2053-11-11	MC-01	86.02N, 143.44E	50	24621
4	2055-08-04	MC-19	29.44S, 23.49W	61	8791
71	2072-07-27	MC-24	55.62S, 146.26W	292	3919
38	2065-08-28	MC-01	84.84N, 103.46W	212	4398
47	2067-04-11	MC-11	12.02N, 18.33W	41	8000
55	2070-03-11	MC-07	55.04N, 163.12E	109	4076
21	2057-07-28	MC-17	23.78S, 107.51W	14	5812
67	2069-10-01	MC-18	25.67S, 71.01W	70	5622
44	2068-03-17	MC-01	67.76N, 121.92E	43	35789
63	2067-02-01	MC-30	70.42S, 113.12E	19	8000
47	2070-08-17	MC-04	34.45N, 14.29W	905	1920
9	2059-04-29	MC-19	27.25S, 29.30W	88	2880
52	2070-04-01	MC-09	10.01N, 110.75W	524	5436
13	2054-02-07	MC-06	51.30N, 118.17E	57	2739
5	2057-10-29	MC-13	11.11N, 85.74E	163	3612
5	2054-10-30	MC-21	17.01S, 59.20E	277	5812
89	2078-04-01	MC-30	67.99S, 98.11W	631	4731
10	2061-11-21	MC-18	14.77S, 62.02W	175	9366
3	2052-12-08	MC-24	40.49S, 121.23W	1057	33322
89	2077-05-16	MC-30	87.86S, 115.41W	221	26004
42	2065-09-27	MC-07	34.79N, 158.30E	157	21171
27	2064-07-07	MC-28	61.11S, 80.13E	11	5255
56	2071-08-24	MC-17	22.78S, 96.87W	59	9366
42	2068-10-15	MC-08	5.68N, 176.69W	524	7279
86	2075-11-28	MC-01	86.09N, 133.57E	14	2599
89	2074-12-11	MC-30	87.17S, 116.45W	93	41937
67	2068-12-04	MC-18	7.38S, 51.54W	63	1788
34	2063-07-13	MC-14	7.96N, 95.58E	137	4563
37	2063-06-11	MC-22	3.21S, 133.75E	277	4902
38	2067-08-26	MC-01	72.32N, 113.24W	231	23366
34	2065-05-27	MC-14	11.22N, 119.26E	77	4902
26	2058-03-29	MC-28	35.81S, 80.78E	57	17718
52	2069-01-06	MC-17	5.57S, 118.27W	292	2054
61	2072-07-28	MC-30	89.40S, 33.20W	196	7512
12	2056-07-11	MC-17	1.32S, 127.59W	100	3612
28	2060-09-08	MC-25	60.00S, 76.09W	63	4902
47	2073-02-03	MC-04	45.19N, 9.99W	30	5812
75	2076-08-31	MC-22	27.39S, 113.01E	70	3764
26	2058-09-04	MC-27	52.23S, 49.74E	277	16330
24	2055-05-01	MC-29	31.90S, 131.25E	61	5076
13	2054-06-15	MC-06	52.62N, 112.14E	325	18486
91	2074-08-13	MC-01	74.61N, 126.55W	36	2599
50	2065-11-26	MC-07	31.84N, 149.01E	43	2188
38	2063-03-23	MC-03	64.34N, 99.72W	252	629
85	2073-07-25	MC-22	3.85S, 119.92E	221	2324
90	2073-06-20	MC-30	74.80S, 156.31W	82	20205
98	2074-08-17	MC-30	66.57S, 91.49E	252	3612
97	2070-07-06	MC-04	62.06N, 21.64W	17	5436
73	2073-05-16	MC-26	57.16S, 56.82W	1270	63326
100	2072-11-05	MC-30	72.36S, 149.18W	61	17000
55	2071-06-17	MC-07	34.70N, 147.24E	14	1267
17	2059-05-17	MC-06	40.81N, 93.78E	447	19313
85	2072-04-01	MC-21	8.56S, 88.30E	85	5812
47	2069-07-28	MC-11	18.56N, 12.48W	231	10654
88	2073-04-23	MC-19	12.76S, 21.25W	124	3167
58	2071-04-04	MC-30	66.90S, 3.56W	181	23366
69	2074-05-08	MC-01	66.06N, 153.33E	90	11382
31	2060-03-19	MC-01	78.97N, 72.54W	32	20205
75	2076-10-22	MC-28	37.07S, 102.89E	106	5436
98	2071-04-23	MC-28	55.92S, 105.11E	48	4902
52	2074-01-05	MC-16	6.04S, 139.84W	57	4398
52	2072-04-14	MC-08	20.05N, 140.02W	157	7279
87	2071-12-28	MC-19	13.21S, 37.37W	70	4902
47	2068-04-11	MC-11	9.47N, 3.38W	128	629
58	2069-10-23	MC-26	60.82S, 11.32W	100	2461
66	2073-04-26	MC-15	19.24N, 147.88E	88	3764
56	2074-08-21	MC-26	38.47S, 50.18W	142	20205
98	2071-09-27	MC-21	27.89S, 77.28E	120	14025
13	2054-01-13	MC-01	72.12N, 117.50E	277	1656
32	2064-03-20	MC-25	45.76S, 84.42W	1270	1526
67	2069-04-24	MC-25	34.89S, 70.31W	106	6006
28	2061-06-07	MC-26	49.31S, 54.95W	416	26004
27	2055-11-14	MC-30	83.09S, 118.62E	30	8000
79	2075-06-28	MC-14	13.18N, 101.83E	204	3022
55	2072-03-14	MC-07	39.21N, 135.25E	344	5436
89	2074-02-25	MC-30	84.80S, 107.16W	109	4076
95	2071-12-25	MC-10	24.47N, 80.57W	241	5622
95	2069-07-20	MC-18	13.39S, 62.41W	292	7752
4	2055-02-18	MC-19	29.34S, 15.48W	14	9985
21	2057-12-18	MC-17	6.49S, 131.15W	157	7052
31	2065-12-15	MC-01	83.84N, 110.85W	292	101649
85	2074-07-15	MC-13	13.44N, 79.70E	169	4076
29	2061-06-09	MC-24	34.62S, 159.94W	106	3313
56	2074-04-15	MC-18	25.13S, 72.53W	14	6618
18	2057-03-31	MC-29	40.74S, 172.65E	175	27536
52	2066-07-24	MC-17	15.20S, 122.02W	103	2324
5	2060-06-29	MC-13	3.03N, 65.66E	128	5622
38	2066-05-18	MC-01	73.58N, 108.69W	54	15109
20	2058-10-20	MC-28	62.16S, 76.30E	65	5812
67	2069-03-29	MC-25	38.09S, 63.64W	152	8519
78	2075-03-01	MC-08	8.68N, 169.48W	365	5255
32	2063-10-02	MC-25	54.18S, 83.18W	702	6205
44	2068-08-07	MC-07	50.77N, 132.87E	100	8519
77	2074-12-03	MC-28	33.19S, 107.17E	169	2188
76	2076-11-03	MC-07	51.01N, 156.71E	47	31157
91	2074-01-29	MC-01	68.06N, 145.76W	12	2324
42	2064-08-21	MC-15	16.31N, 157.32E	482	5255
5	2061-01-02	MC-13	20.50N, 47.30E	241	4398
96	2068-11-20	MC-01	67.01N, 176.07E	50	9366
35	2062-09-01	MC-17	10.03S, 103.13W	34	3764
51	2066-11-23	MC-26	62.86S, 37.74W	277	29243
11	2057-05-17	MC-26	56.68S, 23.20W	11	1267
76	2078-03-20	MC-02	31.32N, 171.38W	61	5076
10	2055-07-03	MC-18	5.24S, 73.21W	90	4902
33	2061-03-18	MC-01	78.42N, 53.47E	34	2599
23	2056-06-16	MC-24	42.67S, 142.05W	905	6832
31	2066-11-25	MC-03	57.49N, 81.86W	96	3764
100	2071-10-27	MC-24	47.73S, 144.99W	39	6618
8	2054-12-28	MC-27	54.62S, 41.19E	75	56210
66	2074-07-25	MC-07	36.76N, 163.78E	169	5255
60	2073-01-05	MC-26	53.67S, 33.66W	27	6618
31	2064-06-24	MC-01	75.45N, 82.94W	25	4235
59	2069-11-14	MC-29	47.88S, 129.04E	416	17000
32	2066-01-10	MC-18	27.65S, 82.61W	12	3461
98	2072-01-31	MC-28	45.68S, 96.21E	231	2188
58	2070-07-17	MC-26	46.96S, 4.16W	1057	4076
72	2074-01-29	MC-17	18.06S, 131.46W	30	8255
56	2068-07-13	MC-25	31.78S, 78.05W	45	5255
39	2063-08-08	MC-29	61.95S, 173.72E	169	7052
100	2074-09-25	MC-30	68.81S, 151.80W	67	5622
47	2073-07-30	MC-04	35.89N, 40.49W	85	4902
55	2069-07-18	MC-07	51.39N, 146.69E	120	13527
5	2059-02-04	MC-13	26.51N, 83.69E	80	9985
51	2065-03-22	MC-26	62.05S, 34.57W	11	22220
27	2059-09-24	MC-30	70.02S, 108.98E	120	5622
64	2068-12-13	MC-28	42.00S, 80.05E	277	5255
31	2065-01-02	MC-01	66.34N, 87.95W	32	5622
72	2073-12-21	MC-25	38.96S, 112.58W	307	5812
66	2074-03-17	MC-07	36.51N, 148.17E	277	8791
55	2068-10-23	MC-15	19.53N, 139.11E	631	4076
42	2067-06-03	MC-02	41.82N, 176.97W	212	1010
22	2055-06-08	MC-12	10.27N, 43.16E	572	3461
67	2071-02-20	MC-25	31.87S, 74.41W	11	9985
67	2070-06-08	MC-18	7.86S, 64.48W	221	7512
47	2067-03-13	MC-04	44.52N, 7.35W	241	2324
50	2065-03-11	MC-07	31.92N, 144.09E	103	13054
34	2062-02-15	MC-07	33.92N, 127.72E	22	2054
23	2056-04-21	MC-24	38.16S, 172.32W	264	3764
98	2071-03-15	MC-22	29.21S, 108.95E	96	883
38	2064-12-19	MC-03	59.64N, 95.25W	106	7752
4	2054-11-20	MC-26	38.97S, 32.64W	307	6006
19	2057-10-12	MC-07	40.38N, 146.72E	103	22220
85	2073-03-16	MC-21	26.94S, 78.85E	15	629
101	2072-12-11	MC-07	56.26N, 162.69E	175	4731
83	2072-09-13	MC-01	71.16N, 80.41E	96	101649
49	2069-03-22	MC-19	18.58S, 21.41W	54	8255
47	2069-07-04	MC-04	34.05N, 11.11W	147	11771
6	2054-02-11	MC-07	60.62N, 158.68E	34	3022
9	2059-08-29	MC-11	4.22N, 29.14W	163	4563
32	2068-03-13	MC-25	47.26S, 107.10W	702	3612
4	2054-09-24	MC-26	39.55S, 41.13W	128	9366
28	2059-07-12	MC-30	82.58S, 58.88W	45	4731
44	2070-03-09	MC-06	64.74N, 106.10E	61	11382
38	2062-10-08	MC-01	87.71N, 110.69W	103	31157
18	2056-05-31	MC-23	25.90S, 152.74E	1057	15109
18	2058-03-14	MC-23	14.37S, 155.73E	117	7279
44	2071-02-01	MC-06	55.41N, 112.85E	70	5436
85	2075-03-20	MC-21	29.96S, 85.67E	59	13054
96	2068-08-22	MC-01	73.23N, 174.28E	57	13054
52	2069-09-24	MC-09	16.16N, 125.35W	77	7512
14	2055-09-30	MC-11	24.29N, 16.94W	90	5812
58	2069-09-02	MC-26	53.65S, 14.01W	77	84631
94	2068-07-15	MC-29	53.42S, 157.42E	196	4076
79	2075-11-19	MC-14	24.02N, 108.24E	93	12178
41	2064-01-17	MC-05	61.17N, 40.77E	39	19313
17	2059-07-08	MC-06	40.43N, 82.79E	702	756
44	2071-06-04	MC-01	83.25N, 110.25E	7	33322
9	2057-06-09	MC-19	25.99S, 5.05W	93	4563
67	2070-07-06	MC-25	44.58S, 75.54W	292	5622
39	2064-03-13	MC-30	79.22S, 167.18W	631	7052
27	2058-11-11	MC-30	79.88S, 106.51E	113	33322
31	2065-07-21	MC-01	70.91N, 115.28W	14	11382
85	2074-05-13	MC-21	23.93S, 85.14E	48	4902
66	2071-06-30	MC-15	22.81N, 165.15E	447	1138
41	2067-09-17	MC-01	69.18N, 16.85E	72	4731
12	2057-03-08	MC-17	2.91S, 103.16W	264	2461
17	2062-02-26	MC-06	36.75N, 65.60E	100	883
2	2058-07-11	MC-22	12.78S, 129.97E	196	6832
27	2062-06-16	MC-30	66.09S, 76.30E	47	19313
82	2069-06-17	MC-23	28.02S, 178.48E	65	3313
18	2056-05-04	MC-23	6.93S, 160.49E	524	3612
77	2076-06-08	MC-22	29.62S, 101.29E	109	13054
46	2067-03-13	MC-30	67.05S, 113.11W	252	6618
2	2051-01-26	MC-22	6.31S, 108.30E	157	5255
52	2072-11-17	MC-17	8.04S, 130.13W	100	6832
29	2061-04-15	MC-24	32.73S, 149.84W	37	8791
53	2068-07-26	MC-30	77.63S, 179.39W	100	8000
67	2070-08-31	MC-18	18.98S, 49.43W	389	2324
94	2070-08-29	MC-29	44.56S, 154.69E	124	3167
44	2067-10-17	MC-07	47.31N, 135.82E	163	17718
56	2069-08-28	MC-18	27.52S, 53.00W	22	2188
23	2057-08-08	MC-16	26.97S, 148.73W	447	6006
38	2063-01-24	MC-01	84.34N, 95.02W	85	101649
62	2068-10-19	MC-20	14.21S, 43.80E	631	5812
22	2056-04-01	MC-20	6.46S, 19.67E	157	6409
9	2059-10-23	MC-19	20.92S, 5.94W	47	5436
27	2063-01-22	MC-30	71.35S, 117.72E	181	1396
34	2064-06-04	MC-14	24.57N, 113.52E	142	3313
100	2074-08-16	MC-24	59.22S, 149.07W	82	4902
4	2054-08-03	MC-19	25.05S, 12.78W	61	5812
5	2060-05-12	MC-12	12.46N, 40.43E	175	9366
95	2072-03-28	MC-17	11.08S, 101.78W	212	3764
39	2066-11-30	MC-24	58.41S, 171.12W	241	26004
2	2053-02-01	MC-06	31.42N, 115.53E	113	3461
14	2055-01-06	MC-11	26.92N, 11.42W	61	3461
82	2071-09-19	MC-29	59.36S, 139.84E	45	6205
61	2073-02-23	MC-30	87.52S, 30.55W	252	5812
89	2077-09-21	MC-30	76.32S, 98.60W	90	9670
54	2068-04-20	MC-14	4.53N, 126.30E	231	6832
20	2059-04-13	MC-28	50.03S, 78.30E	169	2739
28	2061-01-30	MC-30	84.02S, 63.53W	88	3919
56	2069-05-22	MC-26	37.15S, 52.38W	47	16330
39	2067-02-18	MC-29	49.13S, 165.87E	277	3612
76	2075-01-17	MC-01	70.34N, 173.13W	204	10313
38	2063-10-26	MC-01	88.15N, 103.57W	15	9074
76	2076-05-27	MC-07	50.03N, 163.43E	365	2461
77	2077-08-27	MC-28	31.05S, 88.55E	106	1526
59	2069-04-04	MC-29	55.35S, 127.75E	96	10313
72	2072-12-25	MC-25	35.92S, 112.50W	103	756
49	2067-06-30	MC-26	36.32S, 15.30W	12	9074
55	2070-07-25	MC-15	28.14N, 157.94E	48	5255
69	2072-06-15	MC-01	71.97N, 179.51W	212	101649
41	2069-05-10	MC-01	83.04N, 19.14E	264	11011
85	2073-12-09	MC-21	24.60S, 80.78E	15	3612
40	2063-11-07	MC-23	21.95S, 147.58E	41	7752
99	2076-04-07	MC-05	53.89N, 25.61E	11	1920
95	2068-07-05	MC-10	9.12N, 71.60W	482	6006
22	2055-10-21	MC-12	18.01N, 26.77E	212	1788
32	2067-03-29	MC-25	53.15S, 94.22W	631	12178
37	2062-09-26	MC-14	6.51N, 130.15E	106	3461
32	2062-09-24	MC-25	33.60S, 77.18W	24	2739
52	2067-10-20	MC-17	12.76S, 98.34W	631	8791
55	2071-12-27	MC-07	34.34N, 163.03E	252	1920
52	2073-02-25	MC-09	12.41N, 134.48W	307	5436
69	2075-08-15	MC-07	61.67N, 179.46E	147	17000
80	2068-11-27	MC-02	60.83N, 152.11W	1270	5255
5	2056-08-30	MC-13	8.44N, 81.84E	124	4235
89	2074-06-28	MC-25	46.12S, 82.80W	36	2880
83	2070-11-12	MC-06	61.18N, 82.89E	50	2880
20	2059-10-18	MC-27	64.72S, 57.17E	15	6832
4	2056-10-14	MC-19	28.33S, 16.61W	252	2054
86	2073-02-20	MC-01	74.18N, 132.12E	188	15700
26	2059-08-09	MC-28	48.41S, 88.95E	109	7279
80	2068-08-04	MC-02	53.85N, 159.79W	1270	35789
28	2059-12-20	MC-25	47.34S, 79.10W	905	63326
76	2079-11-05	MC-07	42.62N, 150.40E	252	11771
1	2050-10-17	MC-06	43.53N, 72.99E	20	2188
62	2066-09-01	MC-20	12.14S, 17.96E	96	4076
22	2055-09-09	MC-21	17.37S, 53.76E	188	2739
22	2056-02-09	MC-12	14.49N, 44.77E	117	2880
94	2072-12-07	MC-29	45.83S, 139.27E	24	629
75	2075-08-01	MC-28	42.09S, 114.05E	15	3313
66	2070-02-28	MC-15	6.44N, 158.88E	142	3461
57	2068-11-20	MC-25	50.12S, 106.46W	45	21171
75	2074-03-27	MC-28	49.81S, 118.22E	344	1656
72	2071-12-11	MC-24	33.89S, 123.64W	88	15700
12	2058-06-11	MC-09	2.33N, 111.13W	1270	6832
89	2075-11-07	MC-25	58.90S, 90.00W	905	15700
82	2070-02-16	MC-22	21.96S, 134.74E	1057	3919
64	2068-05-14	MC-28	48.39S, 77.11E	75	10313
26	2057-10-18	MC-28	47.66S, 81.70E	52	19313
95	2069-08-04	MC-17	2.52S, 98.17W	50	883
95	2070-01-31	MC-10	13.88N, 77.02W	59	4235
69	2072-02-18	MC-01	88.47N, 164.75E	905	17718
47	2074-05-19	MC-04	49.26N, 8.00W	524	20205
5	2060-03-06	MC-13	2.75N, 80.40E	572	4076
43	2065-07-13	MC-17	3.88S, 107.88W	157	3461
38	2067-07-28	MC-01	85.93N, 106.61W	17	2880
6	2055-05-12	MC-01	89.35N, 162.83E	25	27536
92	2074-12-14	MC-01	68.59N, 73.20E	65	9670
39	2064-09-15	MC-29	48.63S, 179.02E	572	15109
15	2055-07-16	MC-24	37.88S, 174.93W	196	8255
76	2080-08-18	MC-07	59.00N, 151.31E	157	27536
89	2074-10-02	MC-30	68.56S, 104.98W	152	3612
11	2056-04-17	MC-26	53.60S, 12.05W	45	6006
17	2057-09-16	MC-22	1.34S, 91.84E	54	6006
45	2066-08-14	MC-13	11.41N, 50.72E	196	2054
62	2066-12-04	MC-20	10.41S, 13.62E	791	3919
98	2073-06-23	MC-28	42.99S, 99.88E	137	5622
74	2072-08-26	MC-12	3.31N, 12.39E	117	3022
85	2074-04-10	MC-14	10.56N, 114.21E	106	5622
47	2076-04-20	MC-04	46.52N, 6.82W	188	883
12	2058-10-02	MC-17	9.01S, 102.16W	72	883
56	2072-01-02	MC-17	16.94S, 96.97W	175	2880
89	2073-06-25	MC-25	43.10S, 108.17W	113	3919
66	2072-09-13	MC-15	4.60N, 161.32E	77	4235
32	2062-05-27	MC-18	17.87S, 78.02W	59	2461
24	2056-03-21	MC-29	35.30S, 126.42E	30	7512
5	2055-02-02	MC-21	18.12S, 71.71E	72	3612
32	2064-12-22	MC-18	25.30S, 79.03W	47	5255
35	2062-08-19	MC-18	2.19S, 89.51W	88	1396
72	2073-08-23	MC-17	21.90S, 108.17W	25	2324
55	2069-06-13	MC-07	56.97N, 128.77E	169	4076
24	2054-10-12	MC-29	34.51S, 135.27E	188	1526
38	2066-11-11	MC-01	69.76N, 113.35W	39	883
58	2070-08-26	MC-26	44.23S, 12.74W	241	5255
85	2074-06-11	MC-13	6.39N, 86.71E	103	883
18	2056-03-27	MC-29	43.05S, 155.88E	25	5255
42	2065-03-22	MC-15	7.08N, 150.71E	45	2054
5	2058-07-23	MC-21	14.91S, 70.51E	96	5812
65	2068-12-28	MC-19	13.51S, 5.16W	67	5076
66	2071-03-21	MC-15	9.01N, 159.22E	82	2461
32	2065-06-16	MC-25	54.75S, 95.07W	196	1656
61	2070-07-11	MC-30	86.80S, 35.58W	325	1788
51	2066-07-30	MC-26	42.51S, 41.06W	61	21171
41	2065-02-19	MC-01	72.65N, 22.18E	702	17718
72	2075-08-04	MC-17	14.42S, 128.77W	572	6618
79	2076-04-19	MC-14	21.80N, 102.14E	791	2054
31	2066-01-29	MC-03	49.65N, 76.40W	307	1656
14	2055-05-16	MC-11	12.01N, 27.66W	70	7052
38	2064-09-10	MC-01	87.73N, 109.81W	231	19313
86	2073-03-16	MC-06	56.81N, 101.29E	1057	27536
69	2070-12-13	MC-01	67.21N, 173.18W	43	4902
17	2055-07-28	MC-13	19.05N, 79.12E	631	6205
76	2077-04-08	MC-02	40.39N, 178.88W	37	12605
72	2074-05-28	MC-16	18.61S, 136.31W	137	9985
32	2066-06-14	MC-17	27.04S, 106.42W	702	11011
11	2056-06-13	MC-26	57.57S, 29.79W	96	883
81	2068-11-27	MC-16	6.16S, 174.90W	147	1396
36	2063-09-23	MC-08	18.55N, 159.72W	365	11382
88	2073-01-13	MC-19	17.37S, 23.94W	100	3313
86	2073-09-08	MC-07	54.04N, 134.20E	70	11011
2	2057-06-13	MC-14	8.34N, 125.94E	47	756
54	2067-01-12	MC-14	20.57N, 98.11E	47	4076
42	2065-11-20	MC-15	10.42N, 138.93E	252	1010
47	2072-02-02	MC-04	38.27N, 25.78W	365	6409
47	2075-12-21	MC-11	3.25N, 22.96W	109	1010
23	2056-08-31	MC-24	35.25S, 176.12W	17	629
97	2071-05-05	MC-01	86.59N, 14.03W	65	2324
17	2055-08-31	MC-21	4.63S, 69.26E	325	2188
9	2060-07-27	MC-19	24.68S, 3.42W	82	11382
2	2052-05-30	MC-06	36.47N, 111.72E	77	11382
78	2075-11-12	MC-16	12.54S, 158.82W	631	1267
13	2055-09-03	MC-01	68.63N, 120.94E	39	84631
58	2069-03-14	MC-27	64.57S, 9.95E	163	63326
98	2074-11-03	MC-28	63.38S, 104.99E	264	2739
2	2054-04-06	MC-15	29.66N, 140.49E	80	6618
7	2056-05-03	MC-04	39.56N, 48.21W	30	3461
19	2057-04-26	MC-07	44.98N, 146.77E	12	5622
38	2064-11-28	MC-01	66.25N, 110.96W	113	4076
17	2061-10-09	MC-14	22.07N, 106.43E	152	5076
79	2075-09-13	MC-14	12.06N, 124.52E	163	3461
42	2071-03-14	MC-15	20.92N, 164.11E	572	629
47	2068-08-19	MC-11	27.81N, 7.44W	17	9074
36	2062-12-25	MC-16	7.42S, 140.27W	77	6618
72	2073-11-20	MC-24	40.21S, 132.40W	252	4398
99	2074-08-02	MC-04	54.08N, 8.92W	36	10313
89	2075-07-02	MC-25	56.71S, 90.13W	277	4235
75	2076-10-11	MC-28	59.80S, 96.34E	1057	14551
5	2058-09-04	MC-13	23.23N, 80.95E	34	2461
19	2058-09-15	MC-07	49.57N, 152.72E	447	1396
42	2065-04-16	MC-07	49.41N, 162.64E	152	3764
30	2060-05-16	MC-10	20.07N, 88.54W	524	9074
50	2066-03-01	MC-14	16.91N, 132.63E	572	5255
57	2069-01-19	MC-25	51.02S, 97.41W	85	883
75	2074-04-13	MC-28	35.83S, 93.19E	241	5812
90	2073-11-24	MC-30	76.94S, 160.90W	32	14551
10	2056-06-24	MC-18	17.91S, 62.07W	82	3919
77	2077-07-06	MC-28	38.64S, 99.73E	7	5812
75	2076-04-19	MC-28	38.84S, 110.34E	57	2739
60	2071-08-18	MC-26	36.29S, 34.03W	181	17000
100	2072-01-06	MC-30	75.65S, 149.43W	57	29243
97	2071-12-10	MC-04	63.00N, 44.46W	241	23366
31	2060-09-21	MC-01	81.84N, 100.93W	50	50510
10	2056-05-26	MC-19	21.08S, 44.61W	39	3461
9	2060-06-04	MC-27	37.40S, 1.96E	447	2739
52	2072-05-31	MC-09	28.90N, 118.84W	14	2324
29	2061-08-05	MC-24	48.56S, 153.26W	212	3612
64	2068-07-31	MC-28	38.60S, 74.32E	88	11771
52	2073-01-28	MC-17	14.68S, 108.00W	72	1920
27	2064-04-05	MC-30	75.02S, 111.86E	212	45837
17	2060-08-27	MC-06	35.98N, 88.86E	117	3167
79	2076-03-17	MC-14	13.72N, 126.91E	75	4076
53	2067-06-12	MC-24	51.36S, 162.99W	117	14551
28	2062-12-15	MC-30	67.64S, 71.76W	152	14025
7	2055-10-18	MC-04	63.13N, 37.11W	103	23366
72	2073-01-30	MC-24	45.47S, 136.21W	25	26004
9	2060-09-03	MC-11	4.54N, 7.94W	157	4076
18	2057-01-16	MC-16	15.04S, 171.15W	61	4731
94	2071-01-26	MC-29	63.41S, 159.64E	47	629
94	2069-06-12	MC-29	42.26S, 150.23E	15	4902
52	2071-03-04	MC-09	13.44N, 112.34W	34	883
76	2080-01-21	MC-07	43.48N, 166.16E	47	6832
34	2062-01-25	MC-07	37.94N, 127.27E	70	17000
10	2063-01-18	MC-26	45.31S, 52.50W	277	21171
60	2070-11-18	MC-26	58.87S, 20.27W	1270	14025
31	2066-04-08	MC-01	74.42N, 80.54W	48	22220
86	2076-10-18	MC-07	53.39N, 140.20E	39	5255
69	2073-03-12	MC-01	84.44N, 175.76W	212	3764
74	2073-01-17	MC-11	27.01N, 4.97W	212	5436
46	2067-04-13	MC-24	56.53S, 126.25W	57	8255
99	2074-03-09	MC-12	20.39N, 21.22E	41	3461
42	2067-10-05	MC-07	40.10N, 158.22E	120	4076
52	2070-02-12	MC-17	8.37S, 121.67W	109	4076
24	2054-12-09	MC-29	43.74S, 136.46E	63	17718
41	2066-05-15	MC-01	68.72N, 15.48E	43	3313
55	2070-04-07	MC-15	24.75N, 151.09E	63	4563
66	2069-12-22	MC-15	23.00N, 165.42E	204	2188
89	2077-11-24	MC-25	43.34S, 95.91W	9	6832
86	2072-05-03	MC-01	66.09N, 128.60E	29	13527
27	2056-04-26	MC-30	72.00S, 92.47E	106	3919
31	2065-09-13	MC-01	85.81N, 85.94W	1057	9074
9	2055-09-03	MC-20	5.36S, 3.88E	59	4235
72	2076-03-23	MC-24	34.37S, 132.41W	90	10654
99	2071-12-09	MC-05	33.44N, 22.46E	34	22220
46	2067-09-05	MC-25	53.71S, 100.23W	365	8255
72	2072-09-29	MC-25	32.85S, 105.39W	325	14551
95	2071-08-30	MC-10	14.32N, 80.75W	80	10654
10	2059-09-07	MC-19	9.82S, 37.78W	175	883
8	2056-05-21	MC-27	49.12S, 3.93E	241	5076
34	2065-08-13	MC-14	18.49N, 109.03E	231	4398
99	2075-03-30	MC-05	40.50N, 14.71E	231	17718
42	2069-06-28	MC-07	32.90N, 168.15E	12	15109
13	2054-10-11	MC-07	48.57N, 121.42E	389	6409
2	2052-04-22	MC-22	8.94S, 120.99E	702	4076
27	2057-04-13	MC-28	53.44S, 97.39E	344	2739
75	2076-07-04	MC-29	31.66S, 129.04E	11	6832
24	2054-08-22	MC-22	25.65S, 122.59E	204	4563
66	2069-02-06	MC-15	15.25N, 154.74E	791	629
17	2057-04-18	MC-13	5.80N, 70.66E	212	3313
38	2065-12-07	MC-01	88.14N, 110.52W	124	8791
31	2067-01-02	MC-01	88.95N, 117.19W	264	101649
34	2061-09-30	MC-14	11.87N, 118.48E	416	2461
42	2068-02-09	MC-15	28.35N, 175.67E	17	4902
59	2069-12-20	MC-28	46.71S, 112.35E	25	24621
26	2058-01-13	MC-28	49.04S, 80.75E	212	9670
10	2056-07-15	MC-18	27.58S, 71.00W	25	5812
9	2060-08-18	MC-11	1.89N, 15.01W	307	2880
2	2053-08-05	MC-23	11.78S, 141.38E	75	2461
6	2053-06-26	MC-01	81.02N, 138.05E	264	4902
54	2069-11-07	MC-14	10.17N, 102.07E	241	8000
38	2067-07-18	MC-01	80.73N, 101.41W	77	11382
38	2066-03-01	MC-03	59.01N, 106.85W	147	4731
34	2064-01-29	MC-06	34.64N, 95.77E	133	15700
31	2061-01-02	MC-01	66.23N, 107.47W	241	12605
38	2066-06-08	MC-01	78.71N, 123.33W	25	6409
95	2073-03-23	MC-10	27.70N, 85.48W	631	9985
43	2065-08-02	MC-17	18.04S, 99.50W	120	1267
72	2073-06-13	MC-25	37.20S, 102.31W	128	15700
46	2068-01-08	MC-25	58.15S, 104.88W	14	4563
41	2066-09-30	MC-05	60.39N, 48.19E	80	8791
30	2059-12-17	MC-09	25.47N, 96.60W	175	6409
83	2072-11-10	MC-01	73.62N, 93.82E	85	5622
18	2058-06-06	MC-24	39.48S, 175.07W	117	13054
17	2057-10-30	MC-21	2.14S, 66.80E	124	3313
19	2058-04-05	MC-07	35.09N, 171.86E	11	1138
61	2071-04-10	MC-30	67.09S, 14.23W	12	45837
98	2071-01-13	MC-28	47.91S, 89.34E	572	629
42	2067-01-09	MC-15	8.89N, 145.01E	113	4398
46	2066-03-29	MC-25	49.17S, 112.08W	9	2188
15	2054-12-30	MC-16	29.84S, 150.14W	20	10313
35	2061-08-03	MC-17	9.73S, 115.20W	482	8000
45	2067-05-04	MC-21	11.30S, 53.64E	72	3167
26	2057-01-29	MC-21	24.63S, 73.09E	204	3313
83	2071-11-09	MC-06	39.45N, 72.74E	389	24621
87	2073-05-01	MC-26	43.47S, 8.12W	63	11771
21	2057-07-11	MC-17	10.41S, 113.71W	221	5812
61	2073-03-17	MC-30	72.85S, 18.62W	157	15109
26	2055-11-02	MC-28	40.32S, 72.27E	231	1920
76	2079-06-25	MC-07	51.27N, 154.26E	15	4398
52	2073-03-28	MC-08	9.35N, 143.53W	447	883
12	2057-02-21	MC-09	6.79N, 120.57W	70	5255
76	2075-04-16	MC-07	46.42N, 161.75E	36	6409
5	2052-12-24	MC-21	11.38S, 71.66E	50	2188
